556 13532 451 558 13293 533 519 12964 505 533 12539 467 519 12063 411 395 11582 334 300 11031 251 234 10457 220 177 9937 256 203 9530 345 177 9220 434 117 8847 528 143 8461 692 179 8250 799 188 8181 823 254 8014 989 246 7986 1041 183 8247 779 224 8483 633 230 8550 680 194 8460 667 164 8303 515 168 8137 304 207 8008 112 145 7823 18 5 7478 105 -114 6947 274 -141 6277 430 -123 5560 648 -216 4795 981 -485 3928 1410 -561 3018 1907 -386 2183 2430 -183 1517 2986 -390 1038 3598 -353 615 4149 481 392 4698 822 601 5152 686 1009 5413 390 1260 5312 -139 1135 4344 25 586 2958 659 -49 2125 972 -303 2030 1238 -52 2193 1251 598 2186 978 1284 2026 855 1553 1947 783 1427 1955 682 1159 2041 725 944 2337 847 941 2742 939 1232 3086 1014 1763 3251 1029 2395 3266 974 3035 3176 953 3733 2972 948 4557 2713 904 5471 2342 852 6421 1869 765 7370 1319 673 8256 714 607 9027 140 534 9742 -366 484 10440 -825 487 11119 -1236 501 11744 -1551 475 12187 -1688 451 12360 -1591 441 12320 -1338 472 12142 -1032 494 11887 -748 494 11556 -471 525 11122 -246 571 10666 -60 612 10145 171 723 9576 324 3041 12110 -93 7883 31855 -2251 6682 32767 -4037 2848 24413 -4609 1290 9724 -6068 -1569 9694 -6993 -2698 9841 -5298 -2049 6791 -1973 -1057 5163 657 -239 5815 2062 408 6921 2603 861 8094 2482 954 9092 1839 893 9416 1063 590 9238 435 216 8980 -62 116 8712 -443 -60 8321 -646 -332 7950 -748 -189 8045 -880 142 8418 -1029 177 8536 -1157 3 8485 -1185 -267 8460 -1094 -499 8348 -879 -434 8359 -533 -297 8602 -148 -263 8754 97 -145 8920 203 -21 9096 210 -21 9081 87 -40 8963 -123 -101 8783 -299 -321 8506 -337 -576 8232 -266 -652 8129 -119 -549 8201 90 -415 8370 248 -304 8547 277 -232 8616 277 -181 8589 273 -184 8531 230 -208 8515 170 -199 8571 78 -194 8615 -37 -178 8625 -144 -174 8643 -241 -211 8577 -298 -234 8487 -336 -232 8523 -350 -205 8628 -289
-81 8769 -164 278 9771 -381 583 12355 -1379 747 14337 -2126 926 14372 -1891 910 13982 -1463 774 13966 -1174 665 14079 -867 604 13907 -482 544 13383 -113 459 12722 124 374 12108 282 295 11594 436 241 11231 608 229 10967 743 234 10697 856 250 10385 992 236 10071 1058 181 9796 1029 138 9568 1014 144 9386 1023 162 9167 1050 156 8940 1009 129 8754 887 58 8528 813 1 8267 725 -65 8015 640 -79 7764 588 -27 7500 543 -126 7215 543 -388 6849 638 -627 6253 873 -551 5539 1278 -81 5020 1715 646 4945 2037 1445 5133 2267 1120 4787 2112 -401 3370 1207 -1488 1298 350 -1679 -424 566 -1335 -1076 1697 -737 -626 3067 -246 298 4168 -122 843 4824 -139 653 5006 24 53 4971 217 -370 4896 475 -287 4721 701 256 4422 733 931 3932 854 1483 3327 991 2053 2640 899 2651 1883 672 3109 1127 495 3694 323 315 4110 -327 413 3892 -93 478 3903 -124 322 4449 -946 292 4876 -1090 315 5100 -626 336 5351 -298 309 5696 -205 264 6059 -64 231 6436 94 218 6888 147 216 7431 135 255 8117 52 328 8804 59 1538 10334 194 9319 30961 -1667 10711 32767 -6668 2689 32767 -8950 -1627 17123 -8686 -3909 11614 -8046 -3649 11032 -4226 -1395 6128 1049 451 2865 5276 1477 3878 7398 2155 6304 7768 2049 7679 6805 1288 8311 4775 607 8687 2267 209 8658 -77 -174 8637 -2190 -523 8376 -4026 -501 7728 -5127 -257 7605 -5466 108 8308 -5450 402 8771 -5221 396 8379 -4547 187 7845 -3505 -44 7870 -2346 -51 8293 -1238 192 8800 -356 397 8972 390 462 8729 1067 391 8528 1471 249 8524 1503 144 8620 1224 51 8623 807 -111 8451 412 -219 8340 63 -216 8424 -264 -227 8501 -545 -224 8465 -651 -123 8469 -649 -40 8501 -568 -9 8551 -420 9 8656 -323 -4 8692 -270 -56 8587 -222 -164 8447 -220 -212 8419 -251 -162 8400 -329 -135 8310 -433 -200 8287 -528 -259 8394 -658 -253 8490 -693 -272 8481 -600 -310 8468 -496 -252 8556 -386 -143 8689 -273 -80 8782 -173 -86 8807 -79 -120 8701 46 -122 8544 190 -110 8528 291
-97 8604 355 -105 8657 344 -177 8732 158 -266 8856 -227 -355 9144 -741 -587 9478 -1284 -807 9358 -1571 -759 9012 -1527 -674 8835 -1289 -787 8472 -836 -486 8874 -746 482 12946 -2292 1232 18443 -4463 1608 20450 -4806 1710 20033 -3777 1480 19910 -2921 1235 20376 -2313 1070 20540 -1667 884 19965 -1135 661 18914 -859 486 17783 -705 326 16912 -651 218 16433 -694 718 16527 -839 1866 16988 -1024 1534 17040 -1283 -331 16019 -1679 -1484 14176 -1889 -1718 12678 -1515 -1642 12071 -606 -1043 12052 375 111 12134 1108 511 11850 1419 -161 11167 1126 -619 10353 682 -324 9702 715 -109 9212 1010 -436 8675 994 -785 8066 586 -893 7449 210 -843 6947 25 -840 6682 -203 -939 6536 -455 -1013 6235 -538 -919 5736 -501 -762 5206 -455 -784 4561 -363 -959 3711 -164 -1311 2896 70 -1551 2162 443 -1185 1300 1096 -770 604 1743 -778 435 2078 -767 429 2296 -536 226 2694 -161 4 3159 135 -4 3463 290 143 3622 388 201 3681 462 244 3662 600 247 3640 616 101 3658 522 -83 3549 512 -335 3264 584 -623 3027 629 -861 2840 520 -885 2572 525 -733 2328 742 -492 2283 987 -275 2294 1222 -226 2246 1166 -82 2129 1004 200 1991 1197 260 2115 1344 231 2311 1313 302 2375 1455 361 2453 1568 537 2495 1557 814 2485 1663 967 2474 1855 1075 2486 2029 1334 2450 2076 1795 2356 2045 2394 2246 2117 2876 2148 2188 3159 2082 2087 3441 2080 1901 4003 1897 1893 4835 1474 1952 5357 1268 1912 5375 1338 1954 5264 1254 1981 5467 889 1940 6024 441 2038 6586 35 2080 7016 -261 1889 7322 -464 1756 7515 -484 1619 7701 -326 1017 7784 -129 478 7601 156 474 7408 583 509 7462 1077 489 7562 1498 517 7582 1669 527 7565 1603 563 7489 1470 656 7381 1230 756 7336 862 879 7374 366 966 7488 -267 938 7622 -985 881 7735 -1760 830 7907 -2447 707 8115 -2922 562 8305 -3163 442 8452 -3262 381 8595 -3220 345 8714 -3010 255 8758 -2623 105 8775 -2155 -31 8902 -1704 1544 10805 -1621 12402 32767 -3800 13984 32767 -9217 2940 32767 -13525 -2896 26463 -15559 -5937 17977 -14125
-5554 11569 -6770 -2784 2689 1778 -192 1 7252 972 2065 10010 1512 4745 11051 1466 7160 9965 904 9192 7438 327 10801 4310 -162 11301 1016 -651 10236 -1594 -977 8585 -3311 -947 7499 -4526 -740 7346 -5272 -733 7438 -5412 -779 7386 -5158 -673 7629 -4679 -415 8153 -3884 -254 8624 -2923 -352 8646 -1940 -370 8453 -877 -382 8454 124 -314 8562 868 -16 8839 1298 262 9349 1417 257 9570 1252 -30 9038 953 -235 8575 630 -404 8622 268 -486 8834 -86 -439 9185 -395 -462 9322 -587 -647 9189 -580 -970 8817 -408 -1038 8512 -185 -791 8871 -104 -660 9371 -213 -773 9128 -187 -880 8449 -22 -829 8249 -3 -795 8527 -62 -795 8600 18 -698 8605 83 -401 8985 31 400 11251 -102 934 15275 -797 927 17732 -1770 899 17881 -2392 796 17470 -2841 708 17371 -3183 730 17525 -3260 935 17636 -3066 1140 17549 -2687 1086 17185 -2162 637 16462 -1591 8 15496 -1001 -509 14412 -418 -820 13395 72 -816 12624 486 -634 12057 830 -449 11605 1010 -305 11230 1091 -218 11005 1036 -193 10945 814 -299 10896 782 -570 10621 861 -832 9876 729 -928 9007 662 -1002 8416 692 -1115 7874 520 -1216 7179 198 -1304 6358 -67 -1412 5631 -214 -1492 5166 -303 -1509 4829 -294 -1476 4508 -103 -1337 4187 248 -1127 3891 595 -888 3685 887 -638 3512 1149 -396 3327 1435 -146 3160 1798 97 2989 2186 288 2780 2591 460 2561 3000 609 2373 3374 734 2227 3698 858 2105 3973 994 2020 4169 1140 2024 4274 1263 2130 4325 1443 2309 4321 1897 2601 4228 2521 3104 3966 2592 3578 3612 2455 3960 3324 2609 4542 3170 2540 5294 3127 2295 5981 3121 2035 6335 3128 1674 6279 3091 1301 5909 2942 1038 5282 2610 885 4497 2166 749 3677 1740 669 2973 1328 668 2481 1052 627 2172 898 564 2056 748 471 2040 566 350 2095 355 262 2225 230 235 2401 128 267 2687 -66 376 3086 -302 554 3564 -495 775 4055 -666 966 4561 -779 1005 5121 -854 979 5637 -910 1038 6026 -866 1222 6360 -687 1321 6739 -458 1228 7082 -258 1151 7207 -53 1196 7200 106 1319 7287 130 1387 7466 60 1322 7590 7
1267 7592 -66 1221 7562 -224 1131 7586 -388 1019 7609 -474 918 7653 -504 866 7736 -541 830 7818 -594 772 7835 -616 677 7760 -653 555 7727 -653 459 7722 -571 364 7717 -612 223 7744 -754 104 7742 -913 12 7691 -1158 -83 7683 -1403 -117 7754 -1633 -158 7851 -1860 -219 7976 -1992 -233 8056 -2061 -263 8057 -2068 -286 8071 -2015 -272 8141 -1929 -263 8289 -1789 -262 8498 -1601 -221 8711 -1413 1648 11171 -1576 8067 32767 -3976 7594 32767 -7560 2853 32767 -8966 1268 12998 -9399 -3013 6615 -8371 -5162 7539 -4078 -3522 6346 1334 -1289 5141 5370 -232 5394 7267 310 6031 7711 865 7017 7091 1167 8326 5568 1018 9037 3640 470 8983 1783 -99 8762 150 -447 8658 -1245 -620 8508 -2191 -705 8193 -2554 -704 7897 -2439 -513 7978 -2083 -355 8368 -1576 -307 8582 -940 -138 8455 -202 77 8079 530 316 8029 1137 696 8554 1489 1251 9345 1248 1324 9820 257 492 10668 -1616 -390 13719 -3774 -462 16562 -4325 125 17009 -2876 707 17086 -1227 1020 17888 -428 1159 18812 -153 1177 19174 -78 944 18966 -151 531 18437 -273 167 17718 -320 -107 16971 -221 -348 16241 -45 -558 15467 92 -724 14556 152 -740 13315 101 99 11944 -9 1308 11848 -463 1700 13197 -1092 1490 13896 -959 1029 13362 -34 260 12930 1170 -717 13116 2394 -1604 13121 3413 -2224 12247 3952 -2642 10507 3736 -2885 8272 2884 -2929 5944 1737 -2907 3890 432 -2796 2410 -814 -2602 1553 -1825 -2435 1147 -2600 -2273 919 -3063 -2085 679 -3164 -1915 509 -2910 -1761 458 -2389 -1567 496 -1613 -1369 664 -634 -1149 923 394 -891 1143 1384 -628 1302 2331 -342 1437 3108 -68 1546 3608 182 1605 3891 415 1616 3963 643 1616 3852 853 1630 3639 984 1707 3370 1057 1867 3016 1120 2080 2654 1169 2269 2355 1231 2421 2064 1304 2564 1842 1365 2675 1746 1414 2684 1739 1403 2572 1802 1371 2375 1907 1342 2144 2038 1296 2001 2157 1235 2008 2168 1248 2012 2142 1272 1871 2339 1194 1695 2437 1099 1623 2290 1030 1637 2191 984 1693 2119 960 1863 1972 941 2067 1666 895 2231 1329 818 2381 989 764 2573 617 727 2827 300 676 3122 49
663 3477 -119 695 3863 -231 778 4251 -313 875 4650 -380 904 5114 -419 840 5578 -411 790 6021 -406 783 6514 -349 707 7036 -283 622 7506 -320 573 7898 -405 554 8254 -483 577 8600 -514 573 8910 -526 523 9157 -546 514 9375 -562 564 9536 -570 523 9571 -513 404 9458 -377 414 9858 -378 6607 32767 -14231 10125 32767 -24398 10550 19915 -6556 5881 3124 -1210 -2993 8964 -8268 -4316 6849 -2482 -4496 5975 2943 -4522 5959 4520 -4417 6831 4371 -4083 7810 3333 -3384 8427 1745 -2561 8281 456 -1959 8195 -503 -1516 8076 -1265 -1088 7935 -1931 -657 7661 -2634 -524 7264 -3104 -674 7248 -3429 -646 7197 -3560 -548 7199 -3404 -609 7261 -3008 -740 7281 -2374 -769 7691 -1861 -553 7921 -1379 -202 8119 -759 170 8479 -99 375 8547 790 371 9059 1783 627 9762 2650 1122 9528 3591 1255 9254 4154 935 9157 3974 388 8892 3368 -19 8812 2387 -137 8438 1386 -129 8094 615 -8 8103 40 105 8106 -181 57 7896 8 -188 7843 391 -489 8292 520 -645 8488 380 -819 8302 255 -1069 8247 150 -1164 8554 -44 -1026 8694 -343 -873 8294 -401 -888 8104 -204 -884 8157 -80 -721 8080 49 -593 7985 148 -518 7999 -21 -324 8049 -279 -45 8022 -266 114 8048 40 101 8159 364 53 8138 508 -387 8041 659 -1216 8132 1078 -1583 8566 1822 -1473 9047 2263 -1497 9218 1866 -1689 9163 771 -1888 8853 -645 -2076 8454 -1984 -2122 8306 -3166 -1969 8191 -4042 -1888 7994 -4420 -1840 8330 -4636 -1602 8347 -4361 -1454 7915 -3475 -1310 8753 -2718 -871 10861 -2046 -121 13343 -1017 687 14779 526 1115 14798 2093 1169 14471 3096 1064 14191 3482 850 13857 3483 522 13346 3280 205 12809 3010 28 12409 2642 -26 12122 2195 -84 11891 1727 -161 11562 1205 -226 11085 705 -322 10560 252 -433 10082 -174 -510 9688 -507 -575 9349 -726 -659 8922 -834 -720 8389 -774 -717 7806 -614 -702 7125 -352 -707 6383 58 -714 5604 494 -744 4820 912 -789 4043 1327 -791 3320 1672 -765 2718 1924 -732 2206 2090 -667 1821 2211 -549 1615 2289 -431 1546 2311 -306 1512 2283 -123 1574 2213 2 1843 2098 52 2187 1929
140 2502 1717 238 2794 1460 307 3091 1243 336 3473 1094 375 3853 946 441 4110 820 435 4282 765 444 4496 734 525 4825 666 605 5184 505 646 5450 329 642 5640 266 658 5841 296 686 6121 378 668 6474 443 686 6795 510 759 6992 618 803 7140 734 830 7300 858 879 7357 942 877 7357 964 785 7387 877 679 7359 710 541 7295 552 2508 26392 -3439 5249 32767 -12022 8230 32223 -2956 4995 3996 5315 -558 11341 -167 -893 8101 -7 -1163 8284 368 -1389 7406 505 -1689 7675 504 -1528 7938 508 -1018 7953 582 -653 8268 439 -317 8279 84 49 7569 200 -47 7655 469 -123 7790 627 -183 7785 773 -494 8213 668 -557 8197 190 -624 7791 -17 -820 7531 362 -890 7899 350 -920 8203 -154 -984 8069 -590 -1131 8063 -1190 -1165 7957 -1742 -1072 7771 -1783 -1031 7807 -1355 -967 7973 -744 -700 8028 -139 -434 8051 394 -388 8121 792 -371 8202 1032 -271 8270 1134 -198 8267 1161 -145 8294 1129 35 8334 996 235 8329 903 265 8325 937 214 8327 1009 -15 8251 1241 -531 8152 1780 -788 8253 1952 -713 8267 1504 -883 8162 1042 -1136 8123 645 -1187 8085 197 -1254 8089 -235 -1374 8084 -617 -1467 8136 -1090 -1594 8369 -1730 -1763 8404 -2367 -1905 8489 -2999 -1726 11394 -4040 -950 16199 -4549 103 18576 -3287 675 18529 -1240 676 18256 193 540 18387 816 375 18398 1068 140 17949 1244 -153 17240 1326 -378 16575 1206 -507 15874 900 -683 14999 582 -861 14086 303 -949 13306 46 -992 12706 -182 -931 12274 -337 -890 12013 -459 -984 11834 -572 -1002 11568 -508 -995 11129 -339 -1071 10529 -185 -1135 9940 -38 -1215 9477 93 -1295 9219 161 -1321 9174 110 -1361 9094 -41 -1401 8850 -223 -1416 8514 -413 -1492 8165 -590 -1620 7800 -743 -1686 7367 -863 -1682 6943 -922 -1635 6585 -982 -1572 6293 -1019 -1515 6006 -955 -1409 5684 -820 -1255 5397 -567 -1103 5179 -236 -958 5009 38 -797 4874 358 -649 4766 771 -544 4655 1105 -420 4527 1334 -307 4339 1512 -257 4088 1659 -169 3746 1766 -53 3402 1771 67 3137 1695 196 2884 1577 327 2690 1507 445 2542 1496
527 2306 1491 632 2072 1481 730 1927 1481 782 1784 1514 816 1670 1592 869 1546 1762 883 1302 1936 882 1026 2060 910 845 2145 914 719 2192 926 576 2282 934 447 2410 958 391 2524 1056 468 2698 1208 660 2864 1370 856 2988 1507 1052 3123 1610 1263 3187 1688 1450 3212 1723 1624 3145 1725 1843 2934 1668 2104 2623 1588 2380 2223 1510 2677 1771 1400 2967 1303 1336 3237 843 1320 3525 430 1280 3829 66 1193 4169 -247 1080 4510 -467 969 4843 -636 873 5219 -753 807 5624 -805 770 6051 -803 761 6508 -720 774 6952 -589 800 7340 -408 866 7722 -214 900 8133 -114 861 8474 -48 771 8722 53 625 9003 161 485 9317 262 383 9584 304 316 9801 286 235 9980 235 138 10073 112 75 10040 -55 -3 9913 -184 -96 9745 -348 -196 9584 -592 -301 9352 -805 -372 8998 -995 -456 8645 -1153 -433 9709 -1512 5015 32767 -14291 9441 32767 -18245 8864 12816 502 3799 12541 4656 -1937 16290 1677 -1875 13515 5183 -1741 8154 3505 -2584 5905 -225 -3303 6276 -2568 -3113 6886 -3782 -2411 6698 -4444 -1930 6660 -3995 -1795 6810 -2166 -1467 6737 377 -1108 6800 2587 -1137 7212 3508 -1395 7497 3007 -1776 7598 1882 -2052 7473 754 -2213 7211 -108 -2351 7194 -825 -2458 7118 -1261 -2596 7080 -1280 -2572 7206 -1048 -2230 7419 -512 -1755 7514 186 -1577 7542 794 -1597 7752 1187 -1465 7923 1505 -1241 8004 1889 -1062 8015 2214 -946 7883 2393 -922 7884 2416 -727 8010 2213 -263 8065 1871 57 8120 1663 124 8228 1589 -12 8232 1464 -604 8131 1244 -1355 8204 471 -1732 8001 -1019 -2079 7842 -2774 -2482 7884 -4235 -2624 7713 -4969 -2595 7704 -4963 -2581 7852 -4433 -2607 7894 -4041 -2648 7885 -4131 -2654 7976 -4186 -2599 7926 -4050 -2549 7937 -3885 -2423 8038 -3461 -2319 7866 -2924 -2004 10621 -2595 -1051 16025 -1631 195 19306 723 1081 19843 3571 1404 19250 5716 1417 18749 6822 1336 18476 7125 1196 18223 6902 976 17802 6364 745 17054 5568 500 15975 4571 157 14830 3456 -183 13776 2346 -449 12814 1402 -689 12048 579 -878 11519 -105 -978 11163 -559 -1011 10838 -740 -1019 10529 -693 -1035 10304 -529
-1084 10078 -254 -1113 9813 101 -1099 9536 414 -1111 9251 671 -1150 8919 813 -1224 8469 828 -1315 7970 781 -1411 7526 646 -1501 7148 376 -1600 6768 40 -1646 6414 -239 -1629 6153 -471 -1598 5968 -685 -1524 5889 -792 -1387 5852 -799 -1235 5812 -800 -1066 5808 -693 -841 5827 -418 -581 5882 -13 -317 5882 452 -72 5840 941 197 5855 1454 428 5851 1957 613 5779 2465 799 5671 2967 956 5531 3368 1061 5373 3602 1104 5189 3757 1129 4944 3887 1166 4607 3909 1184 4187 3845 1168 3752 3708 1111 3307 3455 1013 2844 3164 922 2424 2816 830 2039 2474 719 1670 2243 640 1319 2022 586 988 1848 531 750 1718 483 616 1596 445 561 1524 442 586 1486 484 652 1480 564 736 1527 656 837 1629 745 976 1701 836 1145 1741 903 1300 1730 958 1411 1691 1028 1492 1686 1077 1567 1650 1098 1622 1590 1115 1744 1530 1137 1945 1426 1151 2184 1228 1125 2459 993 1104 2766 795 1109 3098 630 1110 3493 467 1142 3961 293 1190 4454 142 1250 4979 67 1304 5492 78 1325 5961 153 1362 6453 327 1334 6932 484 1269 7319 544 1212 7653 584 1125 7933 603 1056 8157 556 992 8383 483 851 8617 384 678 8830 211 579 9011 67 426 9166 -33 216 9237 -163 64 9253 -311 -64 9260 -483 -181 9198 -651 -3136 20276 -3706 4025 32767 -9888 14126 32429 -12779 9690 2013 -8874 375 5255 -3418 -4370 22441 1000 -1776 20692 3938 200 8797 1115 -2033 4556 -2603 -4169 5874 -3083 -3797 7464 -3243 -2337 7376 -3445 -1660 7004 -3042 -1532 7085 -1951 -1435 6851 -252 -1503 6673 1352 -1614 7040 1900 -1664 7374 1928 -1700 7238 2123 -1958 7163 2082 -2094 7207 1651 -2006 6952 1249 -2403 7019 271 -2914 7180 -1151 -2995 7230 -1944 -3008 7143 -2203 -2856 6839 -2101 -2422 7158 -1845 -1822 7624 -1377 -1166 7857 -615 -645 8075 64 -397 8136 605 -315 8065 1126 -98 8141 1733 89 8290 2264 117 8322 2500 264 8579 2501 430 8720 2387 270 8400 2343 -138 8046 2371 -175 8302 2404 278 8971 2332 516 8919 2137 363 8569 1907 359 8713 1646 461 8745 1299 233 8351 878 -310 8034 432
-761 8041 4 -800 8253 -102 -806 7994 261 -854 7596 817 -794 7960 1068 -740 8126 896 -686 7901 477 -795 8175 7 -1105 8779 193 -1149 8343 1268 -1161 8047 2071 -1361 8326 2273 -1500 8181 2357 -1828 8258 1898 -2140 8284 820 -2286 7913 -534 -2505 7633 -1972 -2687 7419 -3210 -2696 7471 -4013 -2687 7571 -4165 -2733 7490 -4058 -2682 7868 -4209 -2502 8423 -4315 -2118 11112 -4244 -1307 15602 -3553 -294 18502 -1701 445 19178 569 781 18741 2414 863 18123 3632 835 17646 4280 757 17299 4514 673 16918 4457 544 16426 4196 380 15829 3737 191 15084 3096 -12 14208 2360 -206 13323 1619 -383 12484 957 -571 11737 391 -765 11135 -44 -903 10630 -318 -1016 10226 -498 -1106 9938 -587 -1179 9746 -620 -1257 9548 -675 -1316 9226 -704 -1335 8828 -677 -1362 8427 -621 -1454 8030 -576 -1557 7677 -549 -1598 7349 -519 -1610 6981 -526 -1629 6643 -590 -1666 6364 -625 -1672 6073 -575 -1625 5743 -538 -1515 5437 -499 -1356 5193 -379 -1185 4974 -210 -987 4779 7 -764 4698 272 -533 4732 591 -298 4682 998 -36 4530 1460 159 4399 1875 300 4267 2232 481 4112 2575 645 3987 2832 780 3905 3001 916 3864 3085 1069 3821 3084 1198 3751 3070 1235 3671 3038 1263 3604 2944 1308 3550 2803 1310 3505 2653 1334 3477 2552 1401 3435 2457 1418 3355 2416 1394 3289 2409 1394 3240 2377 1387 3201 2389 1376 3171 2365 1374 3089 2354 1367 3027 2334 1307 2975 2248 1222 2869 2174 1188 2721 2120 1153 2603 2076 1124 2559 2013 1118 2594 1921 1093 2714 1826 1087 2851 1720 1110 3042 1609 1128 3311 1514 1127 3550 1369 1137 3750 1153 1119 3880 953 1092 3988 747 1051 4163 530 980 4346 313 920 4567 118 834 4856 -37 797 5167 -160 777 5441 -270 778 5691 -343 790 5996 -362 776 6357 -377 770 6706 -329 732 6983 -210 734 7237 -136 705 7536 -106 638 7834 -33 564 8070 64 463 8281 127 375 8473 134 309 8619 146 255 8737 139 215 8836 49 170 8938 -114 136 9045 -304 113 9130 -451 56 9193 -605 -2 9204 -812 -69 9228 -1013 3416 32767 -9201 5706 32767 -16723 8550 31408 -1066
